Hotel_Name,Hotel_Rating,City,Feature_1,Feature_2,Feature_3,Feature_4,Feature_5,Feature_6,Feature_7,Feature_8,Feature_9,Hotel_Price,Image
Hotel Radiant (Kolkata),4.0,kolkata,3-star hotel,Free breakfast,Free Wi-Fi,Free parking,Air conditioning,Restaurant,Room service,Full-service laundry,Kid-friendly,2731,https://pix10.agoda.net/hotelImages/4498342/-1/20904b8d066857b2e257ced64c8f6f70.jpg?ca=9&ce=1&s=414x232
Hotel Afsha,3.4,kolkata,Breakfast,Free Wi-Fi,Free parking,Air conditioning,Restaurant,Airport shuttle,Full-service laundry,Accessible,0,1285,https://hotel-afsha.kolkatahotels.org/data/Photos/OriginalPhoto/11715/1171547/1171547577/kolkata-hotel-afsha-photo-1.JPEG
backpackers park,4.0,kolkata,Free breakfast,Free Wi-Fi,Paid parking,Pool,Air conditioning,Kitchen,Full-service laundry,0,0,1103,https://r1imghtlak.mmtcdn.com/6a46d1d2cfa511e8bf0a0242ac110003.jpg
Hotel Mayfair tower,4.0,kolkata,0,0,0,0,0,0,0,0,0,1680,
"The Manor House, Kolkata",4.4,kolkata,Free breakfast,Free Wi-Fi,Pool,Air conditioning,Restaurant,Room service,Full-service laundry,Kid-friendly,0,3880,https://r1imghtlak.mmtcdn.com/0096fce8932311e994f90242ac110003.jpg
Barsana Boutique Hotel,4.3,kolkata,3-star hotel,Free breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Restaurant,Room service,Airport shuttle,3719,https://cf.bstatic.com/xdata/images/hotel/max1024x768/69837724.jpg?k=24f645e3aeefe933be7109c65de59793900329ea1be7ecf82a14558c9ba16588&o=&hp=1
Hotel Pan Asia Continental (A Unit Of Sharda Resources Limited),4.1,kolkata,3-star hotel,Free breakfast,Wi-Fi,Free parking,Air conditioning,Restaurant,Room service,Airport shuttle,Full-service laundry,3074,https://files.yappe.in/place/full/hotel-pan-asia-continental-a-unit-of-sharda-resources-limited-1960673.webp
Hotel Emirates,4.0,kolkata,2-star hotel,Free breakfast,Free Wi-Fi,Free parking,Air conditioning,Restaurant,Room service,Kitchen,Airport shuttle,3014,https://r2imghtlak.mmtcdn.com/r2-mmt-htl-image/htl-imgs/201801131444379257-c8ca7b72d38011e7a8310a36edf1c694.jpg
The Aster Heritage,4.7,kolkata,Free breakfast,Free Wi-Fi,Free parking,Air conditioning,Pet-friendly,Room service,Full-service laundry,Business center,Kid-friendly,2778,https://imgcld.yatra.com/ytimages/image/upload/t_seo_Hotel_w_930_h_550_c_fill_g_auto_q_40_f_jpg/v1413805416/Domestic%20Hotels/Hotels_Kolkata/The%20Astor%20Hotel%20(Heritage%20Hotel)/Facade.jpg
Calcutta Bungalow| Heritage Rooms,4.9,kolkata,Sleeps 13,6 bedrooms,Air conditioning,Fireplace,Paid parking,Free Wi-Fi,No crib,No elevator,No fitness center,8604,https://r1imghtlak.mmtcdn.com/806b0466d2b511e89f340242ac110003.jpg
"BhubanBari historic house airy twin room w 2 baths, kitchen, garden terrace",5.0,kolkata,House,Sleeps 2,1 bedroom,2 bathrooms,Kid-friendly,Kitchen,Smoke-free,Free parking,No air conditioning,2856,https://media-cdn.tripadvisor.com/media/vr-splice-j/09/1e/91/1c.jpg
Hotel Pawan Putra,4.1,kolkata,3-star hotel,Free breakfast,Free Wi-Fi,Pool,Air conditioning,Paid parking,Restaurant,Full-service laundry,0,2436,https://cf.bstatic.com/xdata/images/hotel/max1024x768/230957330.jpg?k=f1c1c089266139787b8fb3a00a80226a3e34b74f15bbb402c4082432672b434a&o=&hp=1
"FabHotel Orion Crystal - Hotel in Park Circus, Kolkata",4.1,kolkata,Free breakfast,Free Wi-Fi,Paid parking,Pool,Air conditioning,Restaurant,Room service,Kitchen,Full-service laundry,2652,https://r1imghtlak.mmtcdn.com/c4a6495801d611ecb60f0a58a9feac02.jpg
The Elanza Hotel,4.1,bangalore,4-star hotel,Free breakfast,Free Wi-Fi,Free parking,Air conditioning,Fitness center,Restaurant,Room service,Airport shuttle,3968,https://images4.via.com/static/hotel/images/2/26657/26657_0_f.jpg
"Country Inn & Suites by Radisson, Bengaluru Hebbal Road",4.1,bangalore,4-star hotel,Breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Spa,Bar,4480,https://media-cdn.tripadvisor.com/media/photo-s/21/72/2a/92/hotel-exterior.jpg
Kadackal Farmhouse | Rooms & Pool,4.2,bangalore,Sleeps 9,3 bedrooms,Air conditioning,Fireplace,Cable TV,Paid parking,No crib,No elevator,No fitness center,4012,https://gos3.ibcdn.com/044d08aaae4711ebb5a50242ac110002.png
"Country Inn & Suites by Radisson, Bengaluru Hebbal Road",4.1,bangalore,4-star hotel,Breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Spa,Bar,4480,https://cf.bstatic.com/xdata/images/hotel/max1024x768/328861151.jpg?k=8d39f6c03e0df02c8d01676af8afcd1cc22c5423971205238ac3ac24f6fa7ab2&o=&hp=1
Kings Palace Manyata,3.2,bangalore,Sleeps 8,3 bedrooms,Air conditioning,Elevator,Fireplace,Cable TV,Paid parking,Free Wi-Fi,No crib,891,https://www.kingspalacechennai.com/images/uploads/210/62e8f5ab24ec7_20220628_202830.jpg
Prestige Residency,3.1,bangalore,Free Wi-Fi,Breakfast,Room service,Kitchen,Full-service laundry,0,0,0,0,609,https://www.prestigeresidency.com/residential-apartments/images/gallery/amenities/big/club-house.jpg
Hotel TAP Paradise,3.4,bangalore,1-star hotel,Free Wi-Fi,Paid parking,Pool,Air conditioning,Restaurant,Kitchen,Airport shuttle,Full-service laundry,539,https://media-cdn.tripadvisor.com/media/photo-s/01/dc/92/d1/hotel-t-a-p-paradise.jpg
Regenta Inn Grand Koramangala,4.6,bangalore,Free breakfast,Free Wi-Fi,Free parking,Air conditioning,Fitness center,Restaurant,Room service,Airport shuttle,Full-service laundry,3192,https://dynamic-media-cdn.tripadvisor.com/media/partner/bookingcom/photo-o/29/2c/89/f8/caption.jpg?w=900&h=-1&s=1
Guhantara,3.7,bangalore,3-star hotel,Free breakfast,Wi-Fi,Free parking,Pool,Air conditioning,Spa,Restaurant,Full-service laundry,4803,https://guhantara.com/wp-content/uploads/2020/02/guhantara_mainbanner3new-1.jpg
Palm Meadows Resort,4.5,bangalore,5-star hotel,Breakfast,Free Wi-Fi,Free parking,Pool,Hot tub,Air conditioning,Fitness center,Spa,6745,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/02/e6/1b/74/palm-meadows-club.jpg?w=1200&h=-1&s=1
Holiday Inn Express & Suites Bengaluru OMR,4.4,bangalore,4-star hotel,Free breakfast,Free Wi-Fi,Paid parking,Air conditioning,Fitness center,Restaurant,Room service,Airport shuttle,4930,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/29/5b/e4/7a/hotel-exterior.jpg?w=1200&h=-1&s=1
Howard Johnson by Wyndham Bengaluru Hebbal,4.1,bangalore,4-star hotel,Free breakfast,Free Wi-Fi,Paid parking,Pool,Air conditioning,Pet-friendly,Fitness center,Spa,4636,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/05/fa/5f/59/howard-johnson-bengaluru.jpg?w=700&h=-1&s=1
The Signature Inn,3.8,bangalore,3-star hotel,Free breakfast,Free Wi-Fi,Paid parking,Air conditioning,Restaurant,Room service,Full-service laundry,Kid-friendly,756,https://r2imghtlak.mmtcdn.com/r2-mmt-htl-image/htl-imgs/201306271508561947-bdd039ba1df811e8832b02755708f0b3.jpg
"Radisson Blu Hotel, Atria Bengaluru",4.4,bangalore,5-star hotel,Breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Spa,Bar,6300,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2a/9c/5e/a6/exterior.jpg?w=1100&h=-1&s=1
SAP Golden Grande,4.0,bangalore,3-star hotel,Free breakfast,Wi-Fi,Free parking,Air conditioning,Restaurant,Room service,Airport shuttle,Full-service laundry,792,https://cf.bstatic.com/xdata/images/hotel/max1024x768/49387184.jpg?k=f02e84f55054d9696481c4f1ceabc726b2714d745947e539ca8b3d8e49fa45bc&o=&hp=1
Royal Regency Lodge,3.8,bangalore,3-star hotel,Free Wi-Fi,Free parking,Air conditioning,Breakfast,Room service,Airport shuttle,Full-service laundry,Accessible,909,https://gos3.ibcdn.com/b902d084558f11eaaa9f0242ac110002.jpg
The Chancery Pavilion,4.1,bangalore,5-star hotel,Free breakfast,Free Wi-Fi,Free parking,Pool,Hot tub,Air conditioning,Fitness center,Spa,5376,https://cf.bstatic.com/xdata/images/hotel/max1024x768/124204205.jpg?k=9591887684f038b53d392759c54c1e6be698e404d008c7a4566cb7ecae68fe2f&o=&hp=1
Bangalore Gate Hotel & Conferences,4.1,bangalore,3-star hotel,Free breakfast,Free Wi-Fi,Free parking,Air conditioning,Restaurant,Room service,Airport shuttle,Full-service laundry,2804,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/28/d8/25/6b/hotel-bangalore-gate.jpg?w=700&h=-1&s=1
"Holiday Inn Bengaluru Racecourse, an IHG Hotel",4.4,bangalore,5-star hotel,Breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Restaurant,Room service,6298,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/29/5b/e4/4a/hotel-preview.jpg?w=1200&h=-1&s=1
Gokulam Grand Hotel & Spa,4.3,bangalore,5-star hotel,Free breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Spa,Bar,6228,https://cf.bstatic.com/xdata/images/hotel/max1024x768/153057592.jpg?k=a04f9f1d02968e1dbbf255e0104266d0a6b198fbcd2dde3626f17d874bf00c0c&o=&hp=1
"Taj Yeshwantpur, Bengaluru",4.5,bangalore,5-star hotel,Free breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Spa,Bar,11800,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/29/08/61/84/facadenight.jpg?w=1200&h=-1&s=1
Attide Boutique Hotel,4.2,bangalore,4-star hotel,Free breakfast,Free Wi-Fi,Free parking,Air conditioning,Fitness center,Bar,Restaurant,Room service,3863,https://imgcld.yatra.com/ytimages/image/upload/t_hotel_yatra_details_desktop/v6816637114/Hotel/Bengaluru/00088563/Header_02_pZou2D.jpg
Hyatt Place Hyderabad Banjara Hills,4.3,hyderabad,4-star hotel,Breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Bar,Restaurant,11209,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/24/ff/54/d5/restaurant.jpg?w=1100&h=-1&s=1
Trident Hotel Hyderabad,4.5,hyderabad,5-star hotel,Free breakfast,Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Spa,Restaurant,10974,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1c/f8/42/6a/the-wilderness-retreat.jpg?w=1200&h=-1&s=1
The Wilderness Retreat,4.0,hyderabad,Free breakfast,Free Wi-Fi,Free parking,Pool,Pet-friendly,Restaurant,Room service,Full-service laundry,Kid-friendly,4928,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1c/f8/42/6a/the-wilderness-retreat.jpg?w=700&h=-1&s=1
Hyderabad Marriott Hotel & Convention Centre,4.4,hyderabad,5-star hotel,Breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Spa,Bar,7112,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2b/00/db/ac/exterior.jpg?w=1200&h=-1&s=1
Citadel Hotels & Conventions By Vinnca,4.4,hyderabad,Free breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Restaurant,Airport shuttle,Full-service laundry,Accessible,3640,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/29/f6/fd/32/caption.jpg?w=1100&h=-1&s=1
Hotel Rainbow Tower,4.5,hyderabad,Breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Restaurant,Room service,Airport shuttle,Full-service laundry,1187,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/19/f5/4b/ac/hotel-exterior.jpg?w=700&h=-1&s=1
"Deccan Serai Hotel, HITEC CITY, HYDERABAD",4.2,hyderabad,3-star hotel,Breakfast,Free Wi-Fi,Paid parking,Air conditioning,Fitness center,Restaurant,Room service,Airport shuttle,3436,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/12/13/f6/69/hotel-exterior.jpg?w=1100&h=-1&s=1
Taramati Baradari Resort,4.2,hyderabad,3-star hotel,Free breakfast,Free Wi-Fi,Paid parking,Pool,Air conditioning,Restaurant,Room service,Kitchen,2520,https://cms.tstdc.in/fetch?payload=67f24da7-5aa9-4920-b2e1-4e3de6d54fce.jpg
The Grand Plaza Hotel,3.8,hyderabad,3-star hotel,Free breakfast,Free Wi-Fi,Free parking,Air conditioning,Restaurant,Room service,Airport shuttle,Accessible,1240,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/25/e1/97/f8/treebo-trend-grand-plaza.jpg?w=700&h=-1&s=1
Taj Falaknuma Palace,4.7,hyderabad,5-star hotel,Free breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Spa,Restaurant,46573,https://www.tajhotels.com/content/dam/luxury/hotels/Taj_Falaknuma_Palace/images/16x7/AAG_Pool-16x7.jpg/jcr:content/renditions/cq5dam.web.1280.1280.jpeg
"Lemon Tree Hotel, Gachibowli, Hyderabad",4.2,hyderabad,4-star hotel,Free breakfast,Free Wi-Fi,Free parking,Pool,Hot tub,Air conditioning,Fitness center,Spa,4910,https://cf.bstatic.com/xdata/images/hotel/max1024x768/158308506.jpg?k=5abf2e52dd00e9daeb6aeda0ed763514a81577d15ab430c7220580a6d53cf22b&o=&hp=1
Hotel Shubham Palace - Karmanghat,4.3,hyderabad,3-star hotel,Free breakfast,Free Wi-Fi,Free parking,Air conditioning,Bar,Restaurant,Room service,Full-service laundry,2371,https://image.wedmegood.com/resized/800X/uploads/member/762892/1570521987_Screenshot_from_2019_10_08_13_29_12.png
RESTEL STUDIO FLATS,4.2,hyderabad,Breakfast,Free Wi-Fi,Free parking,Air conditioning,Pet-friendly,Restaurant,Room service,Kitchen,Airport shuttle,2576,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/23/9d/9c/ca/studio-flat-with-kitchen.jpg?w=700&h=-1&s=1
Ellaa Hotel,4.8,hyderabad,4-star hotel,Free breakfast,Free Wi-Fi,Paid parking,Pool,Hot tub,Air conditioning,Fitness center,Spa,4349,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0d/e0/af/76/ellaa-hotels.jpg?w=1200&h=-1&s=1
Zibe Hyderabad by GRT Hotels,4.5,hyderabad,3-star hotel,Free breakfast,Wi-Fi,Free parking,Air conditioning,Restaurant,Room service,Airport shuttle,Full-service laundry,4520,https://www.hotel.de/de/media/image/46/e9/cb/Zibe_Hyderabad_by_GRT_Hotels-Hyderabad-Hotel_outdoor_area-826116.jpg
Ananya Eco Resorts,3.9,hyderabad,Free breakfast,Free Wi-Fi,Free parking,Air conditioning,Restaurant,Kid-friendly,0,0,0,3808,https://r1imghtlak.mmtcdn.com/4183b91e4dfe11e8a4380af6644478cc.jpeg
Hotel Daspalla Hyderabad,4.2,hyderabad,4-star hotel,Free breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Spa,Bar,5446,"https://res.cloudinary.com/simplotel/image/upload/x_0,y_0,w_3872,h_2179,r_0,c_crop,q_90,fl_progressive/w_500,f_auto,c_fit/hotel-daspalla-hyderabad/Facade_of_Hotel_Daspalla_Hyderabad_cdd4i6"
Capital O Jubilee Banjara Suites Near City Center Mall,3.2,hyderabad,Apartment,Sleeps 4,2 bedrooms,Air conditioning,Cable TV,Free Wi-Fi,No airport shuttle,No beach access,No elevator,1044,https://cf.bstatic.com/xdata/images/hotel/max1024x768/513033308.jpg?k=41b2411d2d096394f5202a0f316e4e821208777acfe4a77490a8d6142962a514&o=&hp=1
Luxury House in Hyderabad With Chef and Driver,5.0,hyderabad,Sleeps 6,3 bedrooms,4 bathrooms,Kitchen,Free parking,Free Wi-Fi,No air conditioning,No airport shuttle,No beach access,10115,https://images.trvl-media.com/lodging/2000000/1150000/1146100/1146094/64d31e60.jpg?impolicy=fcrop&w=469&h=201&p=1&q=medium
"Taj Krishna, Hyderabad",4.5,hyderabad,5-star hotel,Free breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Spa,Bar,11800,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1c/d0/50/73/pool-and-jacuzzi.jpg?w=1100&h=-1&s=1
The Wilderness Retreat,4.0,hyderabad,Free breakfast,Free Wi-Fi,Free parking,Pool,Pet-friendly,Restaurant,Room service,Full-service laundry,Kid-friendly,5668,https://gos3.ibcdn.com/bdea6d32a3fe11eba76e0242ac110002.jpg
Treebo Trend South Avenue With Roadside View,3.8,pondicherry,3-star hotel,Free breakfast,Free Wi-Fi,Air conditioning,Bar,Restaurant,Room service,Airport shuttle,Full-service laundry,9558,
The Bull Boutique Hotel,4.3,pondicherry,Free breakfast,Free Wi-Fi,Free parking,Air conditioning,Restaurant,Room service,Airport shuttle,Full-service laundry,Kid-friendly,4129,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/14/96/6e/80/the-bull.jpg?w=1200&h=-1&s=1
Aashikha Farm House,4.8,pondicherry,Breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Pet-friendly,Room service,Kitchen,Airport shuttle,1974,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/23/42/11/96/farmhouse-residency.jpg?w=1200&h=-1&s=1
HOMESTAY HOTEL LA VILLA PONDI CHÉRIE GUESTHOUSE ROOMS,4.3,pondicherry,Breakfast,Free Wi-Fi,Paid parking,Pool,Air conditioning,Pet-friendly,Fitness center,Spa,Restaurant,904,"https://r2imghtlak.mmtcdn.com/r2-mmt-htl-image/room-imgs/202111231108214889-2249-2254c1e5-ac0f-4679-a964-176bb64baf25.jpg?output-quality=75&downsize=*:612&crop=910:612;4,0&output-format=jpg"
La Grrande Malar - The Boutique Hotel Pondicherry,4.4,pondicherry,Free breakfast,Free Wi-Fi,Paid parking,Pool,Air conditioning,Restaurant,Room service,Full-service laundry,0,2344,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/15/c0/82/52/20181215-070127-largejpg.jpg?w=1000&h=-1&s=1
Treebo Trend Grace Inn,4.2,pondicherry,3-star hotel,Free breakfast,Free Wi-Fi,Air conditioning,Restaurant,Room service,Kitchen,Full-service laundry,Kid-friendly,9698,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/21/c6/22/b8/treebo-trend-the-grace.jpg?w=700&h=-1&s=1
Hotel Bon Sejour,3.8,pondicherry,3-star hotel,Free breakfast,Wi-Fi,Free parking,Air conditioning,Restaurant,Room service,Full-service laundry,Accessible,4415,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/07/c2/0a/98/hotel-bon-sejour.jpg?w=700&h=-1&s=1
Esparan Heritage,4.3,pondicherry,3-star hotel,Free breakfast,Free Wi-Fi,Air conditioning,Restaurant,Room service,Airport shuttle,Full-service laundry,Kid-friendly,1990,https://media-cdn.tripadvisor.com/media/photo-s/12/b4/8c/70/fabhotel-esparan-heritage.jpg
La Maison Pondichéry - Heritage Guesthouse,4.4,pondicherry,Free breakfast,Free Wi-Fi,Free parking,Air conditioning,Beach access,Restaurant,Room service,Airport shuttle,Full-service laundry,3846,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/06/74/ca/f4/la-maison-service-apartments.jpg?w=900&h=-1&s=1
Lotus Comfort- A Pondy Hotel,3.6,pondicherry,3-star hotel,Free breakfast,Free Wi-Fi,Free parking,Air conditioning,Restaurant,Airport shuttle,Full-service laundry,Kid-friendly,1734,https://pix10.agoda.net/hotelImages/478593/-1/228f4d3102310d2f12ed02358a4a3144.jpg?ca=9&ce=1&s=414x232
Pleasant Inn,3.9,pondicherry,1-star hotel,Free breakfast,Wi-Fi,Air conditioning,Restaurant,Room service,Full-service laundry,Kid-friendly,0,1016,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/04/69/f1/f3/pleasant-inn-pondicherry.jpg?w=700&h=-1&s=1
A La Villa Creole,4.2,pondicherry,3-star hotel,Free breakfast,Wi-Fi,Air conditioning,Restaurant,Kitchen,Airport shuttle,Full-service laundry,Kid-friendly,1659,https://cdn1.goibibo.com/voy_ing/t_g/56341092a44011e797d90224510f5e5b.jpg
Hotel Le Royal Park,4.1,pondicherry,3-star hotel,Free breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Spa,Bar,3415,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/22/a9/e3/c5/welcome-to-le-royal-park.jpg?w=1200&h=-1&s=1
Raj Residency,4.2,pondicherry,1-star hotel,Free breakfast,Wi-Fi,Paid parking,Air conditioning,Restaurant,Room service,Kitchen,Airport shuttle,1593,https://r2imghtlak.mmtcdn.com/r2-mmt-htl-image/htl-imgs/201410281738365560-b9a1284cf49111e9ab950242ac110003.jpg
Hotel Ram International,3.9,pondicherry,3-star hotel,Breakfast,Free Wi-Fi,Free parking,Air conditioning,Restaurant,Room service,Full-service laundry,Accessible,1939,https://gos3.ibcdn.com/88b6895cf6b411e7bf1b0a4cef95d023.jpg
Prince Park Farm House,3.9,pondicherry,3-star hotel,Free breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Restaurant,Room service,Full-service laundry,2258,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/02/df/42/47/prince-park-resort-villa.jpg?w=600&h=-1&s=1
Hotel D'Inn,3.6,pondicherry,3-star hotel,Free breakfast,Wi-Fi,Paid parking,Air conditioning,Restaurant,Room service,Kitchen,Airport shuttle,1190,https://pix10.agoda.net/hotelImages/301/3014448/3014448_17102811580058418066.jpg?ca=6&ce=1&s=414x232
Hotel Annamalai International,4.0,pondicherry,3-star hotel,Free breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Restaurant,Room service,3724,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/03/7a/cb/d2/hotel-annamalai.jpg?w=800&h=-1&s=1
Nomad House,4.5,pondicherry,Free Wi-Fi,Air conditioning,Kitchen,Full-service laundry,0,0,0,0,0,1381,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/29/69/dc/31/area-comun.jpg?w=1200&h=-1&s=1
Villa Sentosa,4.1,pondicherry,Free breakfast,Free Wi-Fi,Air conditioning,Restaurant,Kitchen,Airport shuttle,Full-service laundry,Kid-friendly,0,2168,https://cf.bstatic.com/xdata/images/hotel/max1024x768/387134815.jpg?k=7aa584060f07f5391509ecf9e8584fad37912ed7e478cffaac74e352434ef7b0&o=&hp=1
Her View I Luxe Room & Kitchen,3.2,pondicherry,Sleeps 12,4 bedrooms,Air conditioning,Fireplace,Cable TV,Paid parking,Free Wi-Fi,No beach access,No crib,3306,https://r1imghtlak.mmtcdn.com/c23c85622bbf11ebb3ca0242ac110002.jpg?&output-quality=75&downsize=243:162&output-format=jpg
Maison Petite Singapore,3.9,pondicherry,House,Sleeps 10,5 bedrooms,5 bathrooms,Air conditioning,Smoke-free,Free parking,Free Wi-Fi,No airport shuttle,2521,https://www.hotelscombined.com/rimg/himg/b5/c4/a2/expediav2-343500-74d669-541712.jpg?width=200&height=200&crop=true
Hotel Gargee Grand | Best Hotel in Patna,4.1,patna,4-star hotel,Free breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Restaurant,Room service,4956,
HOTEL AMALFI GRAND,4.1,patna,4-star hotel,Breakfast,Free Wi-Fi,Paid parking,Pool,Restaurant,Room service,Kitchen,Airport shuttle,4004,
Hotel Fortune..,3.6,patna,3-star hotel,Free Wi-Fi,Paid parking,Pool,Restaurant,Kitchen,Full-service laundry,Kid-friendly,0,1200,
HOTEL AMALFI GRAND,4.1,patna,4-star hotel,Breakfast,Free Wi-Fi,Paid parking,Pool,Restaurant,Room service,Kitchen,Airport shuttle,2935,
Hotel Bodhi Tree - Best Hotel in Patna | Hotels Near Patna junction Railway Station and Patna airport,4.1,patna,Free breakfast,Free Wi-Fi,Paid parking,Pool,Air conditioning,Restaurant,Room service,Full-service laundry,Kid-friendly,2438,
"Lemon Tree Premier, Patna",4.1,patna,4-star hotel,Free breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Spa,Restaurant,6472,
The Grand Empire | Best 4 Star Luxury Hotel in Patna,4.0,patna,4-star hotel,Breakfast,Free Wi-Fi,Free parking,Air conditioning,Fitness center,Restaurant,Room service,Kitchen,4662,
Hotel Gargee Grand | Best Hotel in Patna,4.1,patna,4-star hotel,Free breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Restaurant,Room service,4956,
Ghar Aangan Resort,3.9,patna,3-star hotel,Free breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Pet-friendly,Restaurant,Room service,2902,
The Park Pride,4.2,patna,Free breakfast,Free Wi-Fi,Paid parking,Pool,Restaurant,Room service,Full-service laundry,0,0,2837,
"Hotel Virasat Retreat, Opposit Medanta Hospital,Patna",4.0,patna,Free breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Bar,Restaurant,Room service,1712,
Buddha Heritage,4.0,patna,3-star hotel,Breakfast,Free Wi-Fi,Free parking,Air conditioning,Restaurant,Room service,Airport shuttle,Full-service laundry,3015,
Hotel Maurya,4.3,patna,5-star hotel,Free breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Spa,Restaurant,10112,
Hotel Mundrika Deluxe,3.2,patna,3-star hotel,Free breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Restaurant,Room service,Full-service laundry,1300,
Hotel Aurelia Pearl,4.8,patna,Breakfast,Free Wi-Fi,Air conditioning,Restaurant,Room service,Full-service laundry,Smoke-free,0,0,1846,
The Hotel Bliss | Best Hotels in Patna,4.1,patna,Breakfast,Free Wi-Fi,Free parking,Air conditioning,Restaurant,Room service,Airport shuttle,Full-service laundry,Accessible,1450,
The AVR Hotel,4.1,patna,3-star hotel,Free breakfast,Free Wi-Fi,Free parking,Air conditioning,Fitness center,Restaurant,Room service,Airport shuttle,2438,
Super OYO Townhouse OAK Holiday Grand,3.3,patna,Apartment,Sleeps 7,Air conditioning,Kitchen,Cable TV,Free Wi-Fi,No airport shuttle,No beach access,No elevator,1553,
Hotel Windsor,3.9,patna,3-star hotel,Free breakfast,Free Wi-Fi,Free parking,Air conditioning,Restaurant,Room service,Airport shuttle,Full-service laundry,4536,
"Lemon Tree Premier, Patna",4.1,patna,4-star hotel,Free breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Spa,Restaurant,6882,
Treebo Trend Seven Suites,3.5,nagpur,3-star hotel,Free breakfast,Free Wi-Fi,Air conditioning,Paid parking,Room service,Kitchen,Full-service laundry,Kid-friendly,2488,
Treebo Trend Chalets,4.2,nagpur,3-star hotel,Free breakfast,Free Wi-Fi,Paid parking,Pool,Air conditioning,Restaurant,Room service,Full-service laundry,3008,
Radisson Blu Hotel Nagpur,4.5,nagpur,5-star hotel,Breakfast,Free Wi-Fi,Paid parking,Pool,Hot tub,Air conditioning,Fitness center,Spa,9361,
Regenta Central Hotel & Convention Centre,4.0,nagpur,4-star hotel,Free breakfast,Wi-Fi,Free parking,Air conditioning,Fitness center,Bar,Restaurant,Room service,3830,
Hotel The Embassy,4.1,nagpur,3-star hotel,Free breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Bar,Restaurant,Room service,3395,
Hotel Centre Point,4.3,nagpur,5-star hotel,Free breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Spa,Bar,4681,
